"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"2293","WTUR.ExStopDnTms_Mly_Sum","WTUR.","ExStopDnTms_Mly_Sum","Downtime due external stop","seconds","Summation","Long","Monthly tag"
"2294","WTUR.ExStopDnTms_Yly_Sum","WTUR.","ExStopDnTms_Yly_Sum","Downtime due external stop","seconds","Summation","Long","Yearly tag"
"2295","WTUR.ExtPwrDnTms","WTUR.","ExtPwrDnTms","Downtime due to external curtailment","seconds","Total Counter","Long","Live Value"
"2296","WTUR.ExtPwrDnTms_10m_End","WTUR.","ExtPwrDnTms_10m_End","Downtime due to external curtailment","seconds","Endvalue","Long","10 minute tag"
"2297","WTUR.GriErrDnTms","WTUR.","GriErrDnTms","Downtime due to grid fault","seconds","Total Counter","Long","Live Value"
"2298","WTUR.GriErrDnTms_10m_End","WTUR.","GriErrDnTms_10m_End","Downtime due to grid fault","seconds","Endvalue","Long","10 minute tag"
"2299","WTUR.GriErrDnTms_10m_Sum","WTUR.","GriErrDnTms_10m_Sum","Downtime due to grid fault","seconds","Summation","Long","10 minute tag"
"2300","WTUR.GriErrDnTms_Dly_Sum","WTUR.","GriErrDnTms_Dly_Sum","Downtime due to grid fault","seconds","Summation","Long","Daily tag"
"2301","WTUR.GriErrDnTms_Mly_Sum","WTUR.","GriErrDnTms_Mly_Sum","Downtime due to grid fault","seconds","Summation","Long","Monthly tag"
"2302","WTUR.GriErrDnTms_Yly_Sum","WTUR.","GriErrDnTms_Yly_Sum","Downtime due to grid fault","seconds","Summation","Long","Yearly tag"
"2303","WTUR.GriOfTms","WTUR.","GriOfTms","Time with no grid","seconds","Total Counter","Long","Live Value"
"2304","WTUR.GriOfTms_10m_End","WTUR.","GriOfTms_10m_End","Time with no grid","seconds","Endvalue","Long","10 minute tag"
"2305","WTUR.GriOkTms","WTUR.","GriOkTms","Time grid Ok ","seconds","Total Counter","Long","Live Value"
"2306","WTUR.GriOkTms_10m_End","WTUR.","GriOkTms_10m_End","Time grid Ok ","seconds","Endvalue","Long","10 minute tag"
